indiv_num,hplus,rgi,datdeb_m,datdeb,salred_lowess,sexe,age,ancentr,dep,dimanc,horaic,maisoc,pnai28,samedc,zus,nivet,empnbh,paiperc,paimerc,datdeb_q,naf10,etranger,urban,in_tepa,married
108458,60,6,2008m10,06oct2008,2274.0635,0,34,132,92,2,1,2,51,2,0,22,54,10,10,2008q4,BE,3,1,1,1
108460,,1,2007m7,09jul2007,2135.8857,1,63,192,92,2,1,3,60,2,0,41,40,8,8,2007q3,RU,2,1,1,1
108460,,2,2007m10,08oct2007,2128.2966,1,64,192,92,2,1,3,60,2,0,41,40,8,8,2007q4,RU,2,1,1,1
108460,,3,2008m1,07jan2008,2135.4829,1,64,204,92,2,1,3,60,2,0,41,40,8,8,2008q1,RU,2,1,1,1
108460,,4,2008m4,07apr2008,2149.6741,1,64,204,92,2,1,3,60,2,0,41,40,8,8,2008q2,RU,2,1,1,1
108460,,5,2008m7,07jul2008,2158.1365,1,64,204,92,2,1,3,60,2,0,41,40,8,8,2008q3,RU,2,1,1,1
108465,,1,2007m7,09jul2007,3239.8286,0,55,384,92,3,1,3,10,3,0,22,50,1,1,2007q3,KZ,1,1,1,0
108465,,2,2007m10,08oct2007,3223.8081,0,55,384,92,3,1,3,10,3,0,22,50,1,1,2007q4,KZ,1,1,1,0
108465,,3,2008m1,07jan2008,3099.0313,0,56,396,92,3,1,3,10,3,0,22,50,1,1,2008q1,KZ,1,1,1,0
108465,,4,2008m4,07apr2008,2974.2659,0,56,396,92,3,1,3,10,3,0,22,50,1,1,2008q2,KZ,1,1,1,0
108465,,5,2008m7,07jul2008,3007.1504,0,56,360,92,3,1,3,10,3,0,22,50,1,1,2008q3,KZ,1,1,1,0
108465,,6,2008m10,06oct2008,3069.241,0,56,360,92,3,1,3,10,3,0,22,20,1,1,2008q4,KZ,1,1,1,0
108468,,1,2007m7,09jul2007,2209.3643,1,27,20,92,3,1,3,10,3,0,21,45,1,1,2007q3,MN,1,1,1,0
108468,,2,2007m10,08oct2007,2296.8206,1,28,23,92,3,1,3,10,3,0,21,45,1,1,2007q4,MN,1,1,1,0
108468,,3,2008m1,07jan2008,2355.5205,1,28,26,92,3,1,3,10,3,0,21,45,1,1,2008q1,BE,1,1,1,0
108468,,4,2008m4,07apr2008,2406.7769,1,28,29,92,3,1,3,10,3,0,21,45,1,1,2008q2,BE,1,1,1,0
108468,,5,2008m7,07jul2008,2709.9509,1,28,32,92,3,1,3,10,3,0,21,45,1,1,2008q3,BE,1,1,1,1
108468,,6,2008m10,06oct2008,2688.771,1,29,35,92,3,1,3,10,3,0,21,45,1,1,2008q4,BE,1,1,1,1
108469,,1,2007m7,09jul2007,1979.564,0,26,21,92,3,1,3,10,3,0,21,40,1,1,2007q3,GI,1,1,1,0
108469,,2,2007m10,08oct2007,2023.1997,0,26,24,92,3,1,3,10,3,0,21,40,1,1,2007q4,GI,1,1,1,0
108469,,3,2008m1,07jan2008,2074.071,0,26,27,92,3,1,3,10,3,0,21,40,1,1,2008q1,LZ,1,1,1,0
108469,,4,2008m4,07apr2008,2122.5549,0,27,30,92,3,1,3,10,3,0,21,40,1,1,2008q2,LZ,1,1,1,0
108469,,5,2008m7,07jul2008,2314.7256,0,27,33,92,3,1,3,10,3,0,21,40,1,1,2008q3,LZ,1,1,1,1
108469,,6,2008m10,06oct2008,2274.0635,0,27,36,92,3,1,3,10,3,0,21,40,1,1,2008q4,LZ,1,1,1,1
108471,,1,2007m7,09jul2007,1648.5265,0,53,372,92,3,3,3,13,3,0,51,45,6,6,2007q3,LZ,1,1,1,1
